p1,p2,p3,n_pois,business_ids
50,95,30,3,j-lxie7nEh3UeUTpiqekkQ|lq7dE9c10OvRfd_edJoyMg|zeAfmYy9b1gfUJLRBHm6vQ
84,81,87,3,x7_JxtIkM4dbfTiz8nLGwg|XYCH5V3qyauP6WQxwoxuaw|rH66ZkKHdHP0zB5E6WAeHA
44,39,99,3,9L0z0ivnpf_rLVxUl95duw|mte3G03yzukqFQVVAXgL_w|UvwMaTj3ExHbQA_Kj1uahg
14,116,1,2,QDa8KYWC1cpTQnXj_rVbdg|hrREl74OU_ylv6zn0owuKA
0,66,56,2,DIG2JmVqk0jvvdcgpL1Hpg|8ZfrmfDdeALbwAezMg9VZA
96,93,2,2,XLbh-HlT8Hgh9VTvVZJrTw|ooWIAjk-DZVXg9Wbtjv9Fg
24,123,116,2,RvkVcX2QXMv4E67j68r5OA|VWyHkQqZNj8wwO9XeLZj2A
91,106,7,2,GCU4EGXALp7A-dut7vjTMQ|WsBauAw8UpZ_lYoPF0rndA
42,33,10,2,l7NDxnGzb6z2_H08rtfS0w|c1tH5Btm_f7SQ-6ju22wag
50,115,58,2,aOVpnuzdFEIp87NpGyNDkA|fApb6LKfOdy5u7MP0hsHKg
80,5,64,2,xPwwiAa5YgA0blH_DuBkdw|ngdwI9eLM4i2MGhV0emyjQ
120,94,86,2,ZGTTTKEclsnoAPghqOaE5w|5ISsvEUPUo0we9Zhb74oxA
111,63,38,2,2Sauye5iyJReYj1Odc3TGw|Ts16glxcNkUxjTIstl3fiA
74,123,106,2,_UT5fWAPQiMQEH_wKqm0xw|qr-tYwSXjyemq0H_bk8JMg
43,56,56,2,Aes-0Q_guDeYewMapFs_vg|q-1ICFSqs2MwDGfe5tX-SQ
10,55,64,2,AWCbDmz_65weRSSfOH-Dmg|UUsOgjn_TFaqbXlzgrwiPw
6,81,104,2,vZG0BDPGDJxMGiXcGoVU6w|tm87DWqehpt79ZInFVmv1w
119,64,26,2,xdEND5C5s4FqCqgf0p7EBg|qyXcWGL5-bU_uV2VKxqzTw
119,97,86,2,Oeaerj6kDDBRGnUh0wLAvA|IofBnKUFeC1Z2uyFOTxNDw
80,43,104,2,b5hxsRw76UUXcotxlCipuQ|fiQxkb1pfPpvrr0oYYYBcA
54,70,94,2,055PjFaDUTCfmOn0AvhGuQ|WN-t8DRw7EWLWwPyoBkrwA
112,71,2,2,KUr3Kf0r4a_qDgwZtZrKgQ|VlmgTNDFBEYzSFUfTesdsw
113,39,7,2,7qaewBVVl0lOfZPTvtR53w|IReweLdjduBOuwmw7ZZNZw
109,101,38,2,VeIrgRMOK_0ZToziUd2kUA|EqM41ApPw8zZF1CJsLLrhA
119,43,100,2,HQ-C47_Xi5it1KzwEc0u0A|2CqQ3Tnvj7h0rw84WEEjMw
15,31,21,2,ZUf0LUtX_bwNp1fYBhM_CA|ZHgTLIC_UwgZsAYlKPIdkA
85,31,54,2,I1mKxV_Z6WBARNkSCWxu6g|gu_MWdst37bRu_jX5MYQ8A
27,2,48,2,MAIfD4kJDCydgoD1l2b_vw|1xsBRB203LiYLcC3mktfdA
119,107,0,2,SHk_eYKzIOPvgwvTThtXiQ|uRz7uwSoU5n0uzBac_UcxQ
58,81,46,2,_v3DcLatG70adfYzWTd-CQ|jshnKTsnoXLSez5XD1qo7Q
22,32,103,2,cbkrO0zra1OiNGvtjw2igQ|fp7IHO1z53wYP4PzKSl11g
120,39,10,2,9D7dDnaZZglUOj75xFy-nw|Ma6uKU7UNpIZaJeb0sKRxw
60,89,46,2,I-SZ0TYMFK429AUImSJ3DA|B8w2deRHiUS1SKajasKQDQ
50,115,64,2,kZtl_NJjUnlIQgzFrBhXyQ|8r_n8JdKQ0gePm2neSkL7A
69,9,117,2,MbzgGsMQpGyVrUJXi_Jw0Q|1l4-uhraQzNiRjppKyMUUQ
54,48,32,2,5flY0_J278cC1MQMcAb_HA|e9MlroCGKfrYOoWjKUk5wA
58,23,52,2,uGo0TCVNOcDQxMArUU0Jrw|RdFgbrE_8sf6NImEMopaPQ
8,92,100,2,oq4-qHT6EJeR81GBDq1OVg|4haTJpBzX-7ilN77LWAIDw
113,66,7,2,KXVC9UqRtRxRvLOn6pVBYw|inZWQcsBuq_DtOJJ6fuHew
0,39,116,2,RvpM--0mCVEBGiPNTekxlA|acGar5SCfNF2v2Vx7EX6dQ
86,33,7,2,jZncFsMQdrq268OHq_Q6uw|3czlT5lRF9uKmGZ2rknJqA
58,71,101,2,qOYSAbFQS5LQXH1No40H6A|h4zjPjFmQgJQzYEXLcHenw
77,93,60,2,1NQ2tjNj3qQt1sXXSGSsiA|NOGCVpC2WeQVGDTA47DTyg
23,65,26,2,jLn69WQupjsDKrbPw_nlGQ|ZyplC1MYtyPS3dxuBTLziA
38,63,54,2,iT4wu2RAE7Oim_h6hknxIg|sYS52Y7WfjLg3Lo_GKDm6A
76,14,80,2,rpVYn86FH8P8u2DLLPnzYw|6bbpLqP90jEcJN5QI0SZ7w
5,98,64,2,5BoU9cJU4wWOUx7uvD8mKw|2yKZrnFkhoUD5rYtHCVbRQ
121,38,75,2,ahG43gKUzsR2pbygFfJwcg|mm6yIxh8_vA8t3HiftKS8g
81,51,56,2,8cep0_812ftdvVZcU2hv1w|wR2o9J_ASNsexcjD7HktXw
63,86,36,2,MWKowhzHQ_scqnJEqAUYgA|gkwSfsu1bxyTzTY3XCW0DA
123,9,69,2,23OxrUaCvvVrwSa1z3xG-w|kAGknILVe6xCv9a2uc5JHw
22,92,104,2,C-aATB7SbuwMBPN5dgjghQ|2T7622XwGOhJf7O4ND_XBA
34,52,26,2,o35e8x6impZfp2_apKwKQA|7TJMrko-TXZg-qoQ3lh1yw
54,0,28,2,kEK6g5wWe5QX9d-5ofsHbA|BRwIWvGSetfDbVh_3p3juA
22,56,116,2,PNVbv2kyUIHeJTDPis2gRg|8MoqZqlNN9AXzG91_Hpc_Q
2,91,46,2,V8dZigOlI5fjpRxgOWwY3g|NDwoKO79_T49UEKVDlHd3A
101,125,7,2,lvV8nlpLcTADBni2tSSv7g|UIvCmFje_AXFhSg34VlOiA
51,92,58,2,XHxAIQR-QAz6j1RMaz_J1A|CTmAWi-W8_Id00EjHF5Uwg
64,14,101,2,yFHFfDAnnrO6JQY-AgTgQw|c0v6NqG5Fo49Nq3DiEef5w
7,79,35,2,aYcodGJ_8-VcwWHydXGwzA|jjLkdCP33c49PPDKvEb0HQ
0,94,7,2,vZl4hptxF7mfeHmMPddD3w|HwaQgoLs6qOo30XWNZ3NyA
114,106,49,2,azMFjlYACqGkTm6Vin3rwQ|_DfEDHqaf-b3vIL5Hb8_eQ
54,98,46,2,rhsp_5-lSXLzSmS8DqGqpA|8tCEzDOsZUXvMtfF0VENMA
55,71,0,2,cOoTIQ0RcudE1R5aRVZzdw|xKTf7byzX_zZjMsF2ZcXfw
19,103,55,2,Ts1xsl3Lvu_gpBB9EMYxgQ|4sFyCJXxKGFfRaTC9XeVRw
104,80,39,2,vdc0S3707kLvAO7iAhbp2w|W0hAAfpPXz6xngWv-hNbeA
30,51,2,2,5MZzFu2uZeRIUv1z0SiqNg|PcNNJP_cL3e1jRczXAWz4A
48,37,7,2,Axnsh0Rq7ApNauBVMeRhjQ|_Cm_KTithNw_ZIqI7KVZ_A
68,28,86,2,p2kC-cD22QAQzIGD8ZuqFA|5YKOs_VGFHgUv7DSMLaQeA
59,57,104,2,4J55A3x6jQPdApokTLMxzw|ySXGwFTgDesGgD3UyUfVSw
41,50,63,2,gsXBNWHWhHv_f9NcwpVajw|XkveGZ8pr9TL5bZCqmzuhA
105,16,49,2,3MhXH3AldjwYaHciv6wSmA|XkZVgFJv4Jr7Y-EJqYAl4A
49,65,5,2,cEN8j6jL0OJ0zhe-AX58Hw|WH6JNvJryAn6tTYVrKHktA
110,58,100,2,KVNoXEIs-BLThEd2jh_Wtw|oQlk24DRu1-COxjkOgJjtg
30,93,97,2,Al5VDtwKBSfBZaAvzGzvSQ|YZfzRxi9YDLFwPlSrkg3CQ
110,86,116,2,lkLTSknBEvbLGwwc1lQRlQ|zmEFVIU5cakWga2cyskz2Q
84,37,7,2,TYUI6xRfoR23ssBZr7dLaA|Xh44ZfAipGBmOkpU6aJQlQ
4,98,109,2,frb1sGu3SvTa-ZZ9ZeZ8Kg|mSeEprwFCWqddRAOSZKgRA
56,31,33,2,pAaK7EHmzwxm55T_jHuPjQ|FoMjCF48aRyW91iM7Tutzw
73,33,86,2,ZYqNIWch6Ik9wLZCa1hxkw|DqVpNtgFCP47n6frh-LREA
105,52,69,2,R25W_kKKvuZ-HTNKvMB_RA|960Ht_eMqNats3xSHbr8jg
35,125,69,2,2m7Dm6gmRI4_mFJX4xg_Nw|hTDzhfAkVkNybqUDdFcMjA
67,25,93,2,YgkikUKkJcrTP9vB6-FEsA|9tre38I5Rsz2Lkx-EASg3Q
95,48,97,2,jzB7yCY5MX_7TOB-1nT6yA|Y7PWniPxY-ddGD-cG2ccOg
90,0,21,2,h1dIK5GAF2umsAj_63fBcQ|hiACqS2wK4OL-add300V5Q
116,127,93,2,DthuEsB0WC9-UQi0YbBEuA|fT52DlwybUYVcST4eIIW9g
85,96,54,2,IlsxlSUl9-s3PmiVzVKGzg|383ud1JzCtmjkhYBk5msjQ
59,9,35,2,CUWituEeIX3xA0xU7X82Ow|wfjqxgLSsLtyzswzQBziSw
113,67,7,2,DjhBDfbQ7tfMlu_FbHZsXg|gUhP-qSOXBHdY46xb0qmjA
43,1,5,2,UBK6zb5-XUETfVzYkRTj1Q|7yR4oQcapZBKCkRLB3Isig
75,72,127,2,956T4nw0gCoORsLtes6rlg|mIhTKiCFvASrx1IrNT6Ktw
61,101,38,2,3fPvGGLaH29WkXXcOPJ_NQ|se46OSoWF5GprhuXjM5eMQ
119,33,116,2,wFNDV56dxETK8lpJKdCbCQ|LlGIlNJE2Nv_PXkH7l4Wmg
21,40,1,2,ANMHEMoZqxjn7qjaNmYIrg|5LeEWF3UxdPAQhtss_PbJg
108,63,7,2,XAPF-ZfpBNldL0kyqN1asQ|2BEXt6tb-WMqRm7AAFBiCg
49,13,79,2,RDjtVGc0c04ZIR6em1hCbQ|y1ZPi7c6sSkWdE1p2vUo-Q
64,123,106,2,Y9Z5B9R5QJH2sRfqtYzRiA|0wVz8BGSamXuxxtf_cTejQ
104,45,100,2,qnYAS5YrS5Xt5LkRMEj4EA|SGZ6GdsB25VoVqPTEAB21Q
89,96,38,2,a0WNzbnwUOwBtpiR7eE_Dg|drN9odmKDpjN8HYCkRG7Ew
123,81,5,2,JZrspVMm79n_iHTYftkI0g|AQw0B8j9QV1RkFLLFiwkuw
86,43,116,2,q75UQjNm6AEK4XNnkDLxTQ|PgtqA056auCp5EbcZMbXPQ
91,45,64,2,2YTJa7DDWx2TQmHu-tPXlg|LpExS-nlG7CMPBsyxulvzA
119,71,62,2,EaTbY8HFwwF7i3SjVbHGYw|_dNk5IpkVVyN2nWMXTA2eA
115,67,31,2,-NSoqWG0CJ6peD2Zg3hBdA|FkKsoMuf_AtPyKotYJn5jw
55,56,10,2,vsrryxBR2Jykl71qa1H6SQ|2YnQAJdeFrcgPa8MqIYcDg
65,72,86,2,IUgQmteI-mbt_qjL2ZENKA|6acxMT_WGbA-cUN5RXpIfw
117,39,7,2,x6ByESFVanIYcomQsXQYGw|fsq25qCrUyXQqmLfcANl9w
65,115,104,2,RIXWht1pZG8pe1SJk5hhXw|cZ6sHHLv7VSmuFSxP6sQLg
24,113,61,2,13UbOVDFdxloxaient5XWA|5Rymy8qVe3_9eFQ9P58Fiw
92,105,67,2,HvPyrSWSO6y07wqjSvX0ww|r9ywYc6Xo5joVDnHXwBtRw
7,39,64,2,dEhVyrZvxw6H-Y1qGoMxkw|GctpGtQPijpg3uTjzOrafQ
73,86,0,2,-3AooxIkg38UyUdlz5oXdw|vyOVT4bcW227LRwJGHTeSw
30,123,116,2,-JvB2PUfqNRjJZRgRpvWGg|x9j8foV5RoVN_DLZOrVdhg
55,5,99,2,OODq_Mki-e929E8NfPc7-Q|izSgTrqebu8bN8ONOCs6cQ
86,1,88,2,KobS8yqBelXH11gaIhZJSg|FTFaEinJgzqY0ZHQMUSpQQ
105,39,97,2,8k-qoVtpXaAsutDOZRarxA|6DlB3QUOlDzzpaUDWU8g0w
123,23,69,2,e63pcbZaXxSY_YyhBol-bw|VZhRxX3BzU09qK4UlXrN4g
106,17,121,2,AsdXMFnYWd8A73Mft44tig|QqXYEFrBWDuqFfnKwYaBwA
123,23,49,2,5vObJIHLO-QOMrw_MvC4rA|7wSnkgOORRCqVDa_n8Upxg
99,86,127,2,_e_7wTfQYZEx3MJLBqvClg|xZlP6e7S2RdWu5eB-fuNKw
37,37,116,2,NSTkwzQwAheuuTCjCvRVmA|cPeMh1pI5_8LN-YH37BMBQ
64,8,75,2,iiTApETRW5Ksl5m1MUGRug|gYhJPVZkzmnBawcHzb0sWA
75,58,100,2,EloAb5ynqtruhIR6NzhiPA|S7Y89ospgc9yvLSr3H0RKA
117,94,7,2,0vbrxooWI6IQeipCidF90g|MRZDZxyNNdT1YdDZhceryQ
78,123,62,2,fbEFbvTV1D8wmM3kf3S8Kw|AArNIcmNfc3GPZtPw3rpUw
47,9,116,2,qfOuGY0MMh068ZFDbG5Egw|j_MFw1jIyDU_Nt-J4wKCHA
8,13,26,2,oJwMmSZKJOnMboZ_z67MZw|9Ujw_PoR_Vv67gf4vsAk-g
121,60,22,2,P3cXIii05nXGTvwW0Zws6Q|C36ldTawd5V7DBiK5G9D8A
9,5,104,2,lANgZETp4T_AQ5CkxxG2mA|xotdeLae9P1mHAiJx4D0XQ
42,64,116,2,-SS3ep20HKhuOhzDkkt9aA|crlk8kaurC4zrPUTt7BevQ
77,10,10,2,egTXKwNP39fsYb8df6paLw|S-slehOL5Owbpwy7WmKzJA
98,96,116,2,tCoqrc1L1lWucLr_5DyGnw|903pLp_Yog3fxJswfUqnjg
27,33,56,2,kfK0iQyhLIN3gOIzbLYwFw|D_WS8rM-DVygaCKbIErZ6Q
54,0,67,2,986ac-VtblTfZsRCX3st3A|MFbUSWzVCt5l6nTHkU7Z9A
34,125,26,2,0Ld2mRZmyf3kotzpUjVdjA|cvyMpa-T9oY8iVj8bBPUMQ
68,11,103,2,dDU-0EW4Asx-RnM-vULFQw|0iHHsSqphxrBWWecYEJcuQ
72,125,14,2,vH616bCXnihp3HuiRkatuQ|xFcMR0xI7_z1l9bSLQyxsw
99,58,47,2,TcUC-Al4SvzodaSKtERL8Q|h6gXlDmGxFPPs8O4CcaoqQ
22,54,26,2,b2Za53CjptGyf9K0fFnrAg|NTLvzcGNm4IUF_yXIwIhvA
69,80,69,2,UnAOJd8rxMvVJQ7vwEGcAQ|HykUZW1jphAnGR259fPLyg
85,25,21,2,NZjVe9ZGh0tOZIp9PKtJDQ|6iqX32smuqP9CLMZubUMGg
42,22,9,2,u09K1WNeI801wdd0NsSLoQ|63i477hAMhatmWMqIlHz5Q
93,92,75,2,rUePoREIOze59D3fd6B6ew|0c28ysQJ_M1fVToTFV-FWQ
62,98,62,2,TqKUtrkIxClS5IofzlJNwg|HdGL7cjsQ_h3qkCMINBq8A
16,17,46,2,tcnSW0GKmyAl66FkE6yVFg|ItOV0bsJ4ju6ei2bBK6SzQ
43,23,0,2,qM2gfO-cqpDzxmIX-XzuWA|mNmUN0HghVFeAYTJ5GwxoA
74,89,14,2,b_qJMmCldHNlPRVh-aa6HA|lPe5tzC6kZf_qZBNUPpAcA
59,2,0,2,fO89arPgWzq_1YYQYLS4Yw|agXGQ4DH4SqxtJxBHKjWIg
119,1,26,2,E_ac8Q20OJD9L8cafCBKaQ|SeneXbKmhHhPtzyTDPDnvA
68,28,116,2,iuTj4Se42VUto09Stkiq4A|9_uigKs9GCwg9dFKkq_Kfg
47,86,116,2,92HeuR3hbRwGopK5zmmuag|rh0NFfOWQ_eSTYHup9pAkQ
55,4,10,2,0tbscjPg4IzURekIn_CJ1Q|hVKH5oED9NgGaZeIiF547A
124,81,86,2,ebJav941naDgngDP2EIRHw|6MXO883UaicdJuobFkKJUw
20,74,58,2,HL2NuAsbNZx9hgPEpDltbQ|Mdn16IEoRO1xvg36-ZhakA
67,37,14,2,tKlefRKZVRbp3cBKHRF2mg|1NJC2Tnlvfcu7MWvW8Xouw
83,26,61,2,A1J3WXtbE3uAAALguOHjkQ|iOHOITTUtJu59j3oudB6xQ
41,112,4,2,QRvUxba12RUNoB8_pDEvsw|yGB3lfj2n9L2Wgo_ieDEqg
36,74,116,2,eTJ60uyATafMzOMUeHpV_Q|y_tQ3IPIy4E6YrGi4aP4RQ
63,28,127,2,QMJ0NWkqBdEcHW54IMCCFg|UjOq8dBVNv9weHrVDqm3kQ
95,84,76,2,U53AajnELygqSPFsHoCuPA|pmWTIBodxcuTk4mC4isVPQ
98,53,28,2,dPpvd4P6cFQ3JEXCdMypPg|up43o_cKrILA4x5NLGN40g
69,120,117,2,4yBeWUqxuru02oZccjDN7Q|EEkCKh3obNA6hE4D4pNUqQ
36,76,49,2,wlkwDTzSlUl36iPt7v3yGA|DKfFKVITUKjiBEy_L8PSUA
50,4,0,2,F-NlTcl5BHb07E7TFb2TJw|YXKot5TH9MhC4khAn0JC3w
117,39,64,2,ikd-liv_W1iGT-MHrqWFHA|0P27vtNdYLy1vNu1Lc85Og
31,51,75,2,tOXSEWjZ9XjTkl1NU3uAcw|DBzyFxLJG3CCEBm3zshfww
87,23,101,2,A263bVzMdU_-TIMhewOrjQ|sdzD-6O7eKIYgF9WzOuasg
53,72,67,2,UtTscAYLkNCf7R_BfFkpVg|z9Hwugqo1VIn2v0C0JfiSA
59,13,5,2,-H-fZonTLitwHFY_PLAIjA|T_TX4Lx03Juo4pHF5cMYuA
8,43,0,2,KC8_Rx4Orlsz8LIonCYXsA|wMZAnrfwV-qHiV5zdTSrzw
55,23,86,2,EzhRlsTdACV60rOgrGYyqA|NIqFlHurHm0cj6QXczYbEQ
105,55,69,2,42L_JP9NxoSsb5p4brndMw|Y5L_Lhpb7Qm61n3I74GisQ
23,92,0,2,69_5ZefofuhXv2ymn-xc9A|ByKCIpZWHYUTuCJcoZ-ONQ
11,106,114,2,r2fdec9HaVvYowiVUm7-pg|HnJYNGsFWzcW0NCD9vAAiw
73,69,86,2,h8DlM-VbvCNzpsTqihgUAw|vNRTLUP22o1X3sMURoiB9A
30,27,28,2,jCwBRUFdrrANn9-Sp5HAGw|VvaRxOJbjaY9DbJ1FNFY6Q
63,91,127,2,MJUtzKFelmsnlm225BwnGw|cCbAiX9ucA2awIijfSN3cQ
67,63,87,2,VWlYUBVYn9Mcs8jQfsxY8w|Ofu0i7AxwlpKbuRstwPshg
102,76,124,2,cEui-VKduKYa0HqjimzuAQ|M3Lmmezv6ZL8oEjldnbbmQ
110,9,116,2,8lhyqiOAFjIipheDtk8gXA|PvCCwun_1sD5Vg6GDguw3g
3,5,21,2,NfHhm-3-zyeBBBwX0rNonQ|YQ0RRTusVCiA_D6mCEH9Ig
59,71,48,2,RqmKdsCh53VCr50QHybrAQ|cbQgU7MxJvyVDROjg-w7yg
42,43,10,2,0ac5lGA_0wdKDnib3y59Xg|zkMqKD6IZPcU10g0a2APmg
50,13,58,2,JpwG8sDNsHuD0f6NF6YuGw|U1lGcthY52-LUPdxhV3qVw
52,96,58,2,MKjRz0QLGsB0t7D-7JridA|qmYIk5oVpzDzJ1PCppgh6g
104,97,75,2,Go-vuNoQ64pojSRJ580SJQ|AmAc0eD6lyVyb7QdOAO1Mg
119,57,26,2,Lj1goFC0ar8bfmsoHhGVbg|N12Pwub9Tj-5AhuPfbj-Mg
42,57,104,2,B1mZ8PEh4JYCTElXFVg8kQ|eanjvgtX8b-m_zgkO0YBDg
104,82,39,2,OqBMs5boXUsKAEfdkv8jHg|mY0LB3JdydIYTOtLNT2EOw
40,27,75,2,exjhxfST-F8ztZG-Z61j5g|FcsYtk59MxoL9hlMES8EbA
91,80,7,2,ao7mtyHSSl6Jq_vuIGC-UQ|JVfXY1dsJBNihtB4Mea7Tg
19,122,68,2,gLEUrKvFnu7EwUhlnloB0Q|gKNhXj4BDRQ9UBMpbLhdQA
34,125,18,2,mePprBwiBvyHLAFF8pMxOA|pSpwHYc5vDSHFTAMUZJ5mw
84,125,56,2,tSgkxCwFyhLPdHzJQa6KVQ|EIj9z18W0vcgeu74AL3kRA
60,89,10,2,QAZoRuDO3x7l8tNrwAABAA|w-Sy9-A2Zfec-tX-DUbXKQ
15,113,93,2,zVwnTKz7JIOoN-MbbQMzYA|hLJxo7JnM3Pl_xFJYXbFZw
20,72,1,2,ntETcHkT40IwEOfNECT6Wg|HVR-oYQXcHE4LlqswEk2LA
59,33,99,2,W7zCBDLFv13fDzRXJefrrA|2Y0L3Hf6U-76jGvviKy5pA
36,125,43,2,dyxGkKpi3EyoaeXbr66j8A|JgSTUp2pz0b0I6uxXQKnVw
55,50,103,2,oS02owt-XB2RtDbogYyn-A|uvb3NcpqBEaCrrcyfNF-wA
59,56,99,2,Vs1GKzhgYLBthayVNuIbGA|tf6S06LD09IFDHUpOPqPaw
107,116,99,2,3u5af9F_sRZHSg1GOTVssw|rRiYtGfDsI3STA4USVGFTg
57,35,55,2,gpOcVH2gPIP1xPZh1DUjpQ|W81XdCpY7VBYHLmvihscXg
23,5,26,2,Y6WDt1LiVZNNDCN8dR_bZg|EcJQ-fvI6ROOcKIu7XEcrQ
23,2,0,2,iBTc6XKgW5HESEZIii-G4g|Bo-GGwQNcLVwyKeYkbfAYg
88,51,4,2,6sYyXDpntxOEr3Z-W5AUsQ|oyJdcjCTGEM2KiGqyJaFwA
57,35,127,2,pY0zGpKbZaQP557k3th0qg|koOE6eAAyW8c70G-xAYqJA
