p1,p2,p3,n_pois,business_ids
81,49,48,13,-BhSR6dAry5-2x3ndjX_9w|kMVxFlQR9bCeuujgRLwXIg|dE2gEdVmQNgLNkJAoiGSZQ|SRt_CBBo9a7MuW629T0egw|E89UTlNjtofPbRnn1mICrw...
102,7,91,13,5m3ND7lNNd6zo-bNQGoXhQ|ldr7iDtxFXX-q7tJuXqlGQ|ktM6aYuzqWd-kA8SIWswiQ|6vp741cxMvQMicJ3qZuLGQ|J3nx8u-uRRejlfyP9KjFhQ...
101,8,92,13,yFqq66GxRjnhZXPgjA6hnw|S0l0lOZg6Jya_fs4Eznx0w|4vQAYvHx8EnnrXgPz_h5YQ|vr6wlGk_RDW6yWiQmbiiow|mHaqp8gFll0n50vVE1Xoow...
5,105,36,12,K3SinHzHqi9-1aoTCic3sQ|Rf6jdbtzb_nxldsowzol8w|oKK6Q9m0e13UVaI_trbvjw|U32ZpIAiryOvFQHI6haMkQ|Npx4gS9yp1asWrW3VNY_AA...
73,73,88,12,7sKfrJmjG6unAQeWdQUe2w|n88rreifvghMYJVUaWMUXg|hISS86EIyZq3FAf3P0OfcA|NUJUwjahW6sXPqPkpINN9w|y_JHEQMGEeD7-ATIqcNhqw...
70,49,34,12,Jj8J8AfO4tJW7U74XbWLLA|7nUU1CZGTvyzAV4svYwXHA|F9c6M_4YwEGFcTVmDVIX2Q|8JL9ezyCBIX7u2ikB6i8Eg|04srD0j0OwEA_VcVfM76lw...
122,69,17,11,FBEzhE4ABeiZTGGO-BTKeQ|mQ6GtJxjHZndqKSRieiBLg|ZuGviUbyXpaEZnZ7w2IHyA|HBk165NRJcLWdPHzuSkAEA|qs_yXC1KdbxD7iPDhrBptw...
87,49,33,11,EIWQHcSrDgk3hZQtJsAtAA|sDCqBdVZ59kPyytHAC8r4g|lmGibbdxH2Bf9dBJf1CTGQ|el1tEjAy3o1BxI1sssJ7Bg|moj9vi5jG35QIA_CZdZLGQ...
10,53,124,11,Bfjx1m4INbd7DMQ9pMfYww|Ug7i0TEGvlpA-OAPz5xqWg|r5Y07lDDsypAq0psemTUWw|eHxp4cvRoqw2O2sy-sFytg|Cmi007nvusvrE-ary4Xg_A...
7,73,75,11,mNu6xYO2bn-rvacN12h9WA|8XzJOLIIZs_aN6GZNur-8g|G8GII53SbTzPPAxsoFmycA|k_eKYlkhI11VGzb5RxHmOA|ZZASTnu-8vFjHkvGgatUSA...
64,55,28,11,hBoXl-5Evn7ScoY65u2TwQ|8D_0zPRvXz_AWvpFwEJXxw|5xj1Cs4BnWBsFtyBEdYqjA|2NPOUyIMPYofknvLBZjUzA|mWpkyD48VpVl14-bsnz08w...
5,105,29,11,RTT0obAwvioYv2LjcD1HOA|QbojIxpRByAPgF5ihsXFZw|IetgtEfTK8tQUHISXzhj3A|E9kAJ17gVMvFCmsl6nJzGA|IgYgj5Kf8n6LzV3phH0Nhg...
79,53,86,11,qQcAJDLelexcAZOcdPnsEA|alXqiq6ih52qOmzFVEc92g|TKHpxcLk0tsQ8BL6-1xlGg|vtRXIGKj4Jv8B7ysC7q1Dg|zHhvDhZz-SGTvE1o75h6gg...
5,5,92,10,LpIKjMR5ERpyzEN1tbf3fw|CZuC-Yp3O96vUyk-mvAd4A|xntpvUMDhIocGw1FAvEVeg|4e7imilW2nzFkgNjqq0aNQ|CCjzAzmJzvBm-dvfhSAScg...
99,73,34,10,ofIygj_t4vvNd4WD9Gl-Ng|U0voDyTp7mD1poGc1lTcCw|4f-9FJn6SMRQwsI7bPKGRQ|vIwdLdSMmGMjRin9OSxViA|IJntIofWUmoNlDg9prLSMw...
0,77,51,10,nmeGoVi_U-bbnojJsi52Aw|vF_QwGltBpVesMMGclzB9Q|ntsN09UfQSlRWO37guMKMw|fOuWUIupxZlE5TQp9T_84A|W7S93Y-A2w5hme8mXuwZUw...
14,14,75,10,ccSzXV4wi2cJPnkfP7xy5A|ETMBMbUI7iLB4fzM_GjgGg|wd1AqgQQdeoMCMEwvvs4ow|uzp1k2LiBBwEjmSd8dv0DA|NZd4LDR6pYmKyyB5cKoNTw...
78,73,59,10,aw5GN4yk6r0r9e_5TdiLFQ|nXITcMHchXTV0cHPvANOXw|CdgLh0KRYAf9aMOo59ViqA|pyd8U4Zu45biZXjnC7XZBQ|bYG90_J95h7RvZMbE4qstA...
88,9,48,10,Ac6NdLwXzX9EWqqWxx94ZQ|emjdC2WMxwdFIJbdYzdMzw|--30_8IhuyMHbSOcNWd6DQ|gBSHDsZRoFBKDOz9qy9pJQ|KX4wcjdbHsl0HlxUOC8Y7w...
29,60,28,10,aNXw3PkXVt8ANwLyCfcmpg|SNYpn2BdTbz8QrrfH8rvdw|cW7_QDMKaJU5-eDxuvzZaw|RgVcY0hWnkZkP76cqb5ZhQ|R22wAKcMz5BsZSQBRcyLHQ...
4,55,28,10,zn-WXkqHag5FSVc_LC9dEQ|z_AhBvUkVEDHqSG_jlW1Xg|P-RoY808VrsJ19lhMjcCYg|nzkN12fCEUHfaW6wEb2teA|bbjufor5MuV4IVe1FBhmmQ...
8,68,4,9,U-5KW0rsgB3D5bhEJiGRLQ|7E6F4PcFUzr8SPB9Q5yQBw|_OQ6zdncG6-5T2TnA4ilpg|JbBVL2BgqjEliYrM61L3bw|OTQV6vvFKJyH9ZRo9IegRQ...
75,87,1,9,vixUPc4ab4eeFVWnM4cngA|zRU-4CA1gN7aJDCFNODPnw|_T6P0nKJrJq28Fd03y063g|1dBzOXu6bUSsU3sImCxbnQ|yuRvP5H8cSNF4itNmtcEwA...
44,122,70,9,BneXfQCiGY7yBiumOe7GCw|xW6anc3eKbijsELT7FLr9g|g3YySsUwqe0Z-FfHAhkXng|egnIRUFaiOFdXYReuproiw|4_K8IBzSQvBkWJBzoTBz2A...
120,69,67,9,mTeNbKb9idbGoKJswtU_mA|jfIwOEXcVRyhZjM4ISOh4g|qCvCK8hVxAuuWwkBp_JE4A|MqdCs22Lym96IRmt9ivKyQ|qGrjQ-c1uBfkAzS3YJVoNA...
86,53,118,9,ed-eGpyeu6K7pHWoqnvOkA|p_0l6BPjJ6Rd0690OHw3Tg|04vCVMxsnc2X853am4_39w|bKr1Rud-0n-g1cQAk4tWVg|EJnfywF-Z-gOt5eganmgBg...
5,105,39,9,RfV3haRxmj8Va7t4N4k04Q|JTM0CtxIIV8B9IEN8t4Plg|1t_QZpj9jTg-VSQDnWM7PQ|_1f2QqzSKtxPrc5m2jZfBw|V1IIOP4BK9GSe_6E0hALKg...
68,68,4,9,arpAjDjebOzjwwysIGIwAg|dqZsbF2597__RVi9Mp1Abw|nNdEG1yAfKcsaLwACuk4rQ|zsFMgtxg5cah3aNB_Snwww|L6tVq38lisHOuIgTur_qCw...
107,55,53,9,SSRNaYae6vFIefAMIbze7w|EdhBUh9zNmAVQ3hMuRqSQg|Eg1OqZU4WOJm5xeVBmJYEw|b6A_cXARr83OlQD5OwKsIg|4Cgcu5XGKcS-dR7RIMECzw...
37,124,4,9,8O-qLfpOwFL4oJnkVoUrjA|9eDrgqwz9HI44v9F9bvg1A|6SclMbv8-46ZsJAPDoiLGg|QoutQ2DMOM2SudiAnaM6Ug|UUGnCaUHWTqCMFQub-jDlQ...
66,53,91,9,WVezl6Lf0FVr1rW_-7VcYA|lYh0h3Oti06b0LV-dGaFJA|7uQZZwznPshmfR7js9JxIA|g5ySji9RLlyqf6mUrgMaxg|bz1851_voERHhEjEwUzXoA...
37,85,4,9,jX8i0O2x-koganf8WwHXdA|GAZMcRxy2i8ZHlwl7otD6Q|-5LzSdkohuiRPOLi0GGCJQ|s3_l6m4HDxhz_V9T1HKyFg|IccxkISZzU6zycUBCKRflQ...
55,73,75,9,kV_Q1oqis8Qli8dUoGpTyQ|59jkCUm4yHciKL1KW_1HJA|iwlPkTBb2CtjD0oe-baXnA|VEJKp3OEePyqnez_GrmamQ|py2kSvhHg5B6Z9ZrLHRjuQ...
122,55,17,9,zU2GDGapAvw0CSG6L-9ZgA|Trd7H5_YJRzGoH890zgwtQ|M9CeG1q58WqCkCsBJ4nUbw|H4-c4zcxxt_JD1AZXHhcuw|9lvpQ6AFV9qh8m3oCaaBHQ...
13,68,86,9,nD1-45mQlk9-_NEtJvp-mg|g02nOva_EMrEQLEB7Ipo5w|JrPyo8Ykbx8gw8sREerfqA|dP6yt5YxZUQvMJq3M62EOQ|1lHtLaV7dCDJLg9cKuWhVg...
75,122,70,9,iUvmu6k_GyMlIjw67dTweA|lXkjfmdIKGB-WwEuuEEAmw|Wk5q7fdSUb2_iiqQ8Eus3w|bnoc_fLRzS9xh3iidEePHA|kc4I1dNgKXqbWkWrR_NjZQ...
51,14,75,9,bvVHopucWYlQtDg6bVY09w|9nBqiimE6bGE1TSxlnDJ-A|np56UXojrRQOaBvBHoLHkw|49Gyz-LD9MxTh1yzbYiOhw|Ve3hy3HV40OKUJIcZAK8qA...
9,63,24,9,05f7LL_6d7DOw0hHR9tsqw|pAVplVUnmW9vMUJbiDVyjw|G43B4RHuDtIubq5X2TVViQ|OyiXfvA4VY6zpK3itsAmjA|G6BKeEPl8Pvoy1ra288gHw...
44,53,114,9,M6loL6C6I84UxVj899qykQ|K9jk-Ut6Pb1x6rH-GAMoiA|JIKCk2LfA6EZa0VakQ44OQ|Rbz0SMCxxs20jO_fKnpLFw|VD2NtTjHYkcgJkPT_Rw1qQ...
87,33,62,9,4Q0TwTX2uwfb26ynEUordw|EwX4CUwRFwjO9oO5sJJ-bA|m_rxMOwm2GHlPRxvxL-nsQ|-WbAIZ0knpIlkbOWUNMPmw|nC-XRM765ABqKnNIELV-uA...
73,7,113,8,Mfyqn9bYNL7jVsXjXH_ymg|bVLyH2WfOrK4UWlFXJzs9A|h2kkHQGhtVuFvMBlMY8NLw|yuNf6vYaIZYe88g6pouAiA|ksIxYQ7hlBbGu9Mw8vpRZQ...
92,53,29,8,ctDyeSkk2VMEbRogxAtYFw|RxP_FWNCf9qItziecY3IEw|111xH-Jad3rSZBgGRjcxaw|ZvcUdh-gpqfCbWI5F2JVdw|6C8rzCcB2FZh0VFXkSOtCw...
17,42,91,8,H1zluBWeIFkOamadC-j5MQ|sn_IoCFUp0tmNLP0_BCK1w|1Yw9QofB0YcjE0po4I7G6Q|D2wKDrcqbwStE2BUyRNSSg|G0OV23-dZlDjTwgVR7gtYA...
3,68,86,8,YWfOxkw6ZqMOsVm3hsv2ig|C_0iYuJI4uCVM-fC4AF7OA|S1jbiP2m7rJdyOPw4yYWMw|l-bq-D1Nye5PLvh4md8SWg|jpiu8uKDtcAzW4z9vAeeoQ...
23,124,86,8,3Ib7660BCBP7emv3JiPfwQ|3XpImtX8V6w_4AC9CwHhaQ|ocrm9vLhGCn4Z8hgadyWHQ|pAtiC7OwPOudjq3uAASfBA|W-o1Q1SRFlyLYtDanhfx9A...
37,68,4,8,C6DuihFjuVHI8Rox6nFMqA|liBiXtYbNpcDR-pMPoHAIg|0Xe4D1r4LjT76cjzjxiX7g|8rbQ91ybbgT8Fr6TmBgxig|OLtm4dj8YQ2ClYr6abWMoA...
97,7,91,8,qdL-EbgoA7Gq_2u4e4YvLw|ajGUFDANNSnqUoLvZPCcPw|HUVLNeBs32cInBZVFS90RA|r28TgTsWsmRH7nzrWEgVHQ|fneeyCOYV5-oVeQP0TACog...
40,90,124,8,OGQnCvnhqNCpWawUi9b21w|8D56AQRuyNbeDiOWacsnkQ|3LI8UDH94zmJxTTVm2rXIA|bJ5Y42F7hPl6rKXIY_LiYQ|-ofyXPJTwkWZLucFwhl83g...
4,55,27,8,nnCOgXby9moIK_EArjlv9w|nmuMwdP6WfD1ziGw19CY1g|hs2ifqouFH_w-GJ39Oq_IA|GIItciLVJF527Z7y17VSlA|uZgXaaGYzM7z1TJ4zYEMxA...
44,60,61,8,O0fPPPMQYSFZIaUBnkGXFQ|5QtYMPUpaHz1H070KBjufg|xg2BYY0tswiEDz2HvTRq2w|nEAxkQ4m0rbSAjD8mxaVrQ|8v3IdwuMHVity9-YtZrfcg...
61,38,48,8,fSogaGRzGLMcva3vw5Id_w|4ojRyf5RfZArkkE9U9bfNw|hZinn_1JNcgUewFovRT8ow|kM0CewxK3Ize1SF92bfJYQ|GCsGSAR_ikkaj3Cye5v-9w...
127,110,75,8,2D4xIM1ahHTQa6iV4m3p9Q|a5KZ1p08huX4cPWI5H7Geg|eLt-dwl-xxXj9nklhs2eOw|vnIEIWnDBsOD6NzYQSqCbQ|3yl_F1v1FU-l7gDvJn30nw...
1,73,88,8,YXqqSPG3M3-pnJW9FjQfWg|sNHhtE1QRoEKWfcUTCjOrA|iwGsNdrpUHv-cBj1qo1w6w|Ix-NE3bXbn_rKCTbNM2HEw|Cih5sAkSIPUBRLnqF1uXWw...
87,49,38,8,feN9AM0OlXBYqdbzgnH0-g|DeGqvsBOXXu5jpSaQHjksQ|lhZ1fCasvMVWPTBEpllPJg|4PLMi5CuOm_pCXp269aRAw|5-YFRezc0MMV8Fe79ImJYQ...
101,107,3,8,PfPdwUAfH2JSQdB3zpaQnA|-Yq5m8Mc8jT8iqjJOqFWfg|PGrAdUt4XYjZ5qrab8BhFQ|T4o142k9AoT0yp0DqinZuA|Umw88IlyYWAep0_obZkXKQ...
26,7,126,8,tr5Os7k3FpPz7NbWYwZa5Q|lAni_2IBdJOUMGXYXSmU2g|kiRuUDU74UUdx6kIFAgOdA|ZH_9EW1xF1FnjZ0Dj2BS-Q|jEiywYWwHnHnF4sm3BYKJw...
101,107,15,8,FmQygwfW_x8AkEWLXESezQ|m-xEGtqqmsRDjp8ceskEDw|na5B8puc0hx8xxmuC3cH1A|noS3HTfv6SSvfd21qD0rYg|8sJwVOr_dHVrvqOB0L6aoQ...
111,69,70,8,dJKKsvtfzqtyIhW7kQmUAA|eX1E0J6uh8a3oVazer1_yw|W4EsOaWQEPcRlhnmnxWjQw|1nK_pMoriYMXfx2GHVdtkQ|uA2LloQ-4PgrubFoZ-cIuw...
63,53,4,8,-jQ_XYOikTuGQWdxResNfQ|1U-4B5gkUATXtsZrZ-KwSw|mTQaqMlwbYivhRdSZqKAWA|f0D7O0IsP8Kg_Nwupm5flQ|GuR1jUzLC_jwGk07B-qrFg...
32,73,47,8,WUSdgNQ8eBZwzAfPKGi8kA|XRwMylq2mJXEm72-WnpJPQ|_QqLPONYQiUu3u7VsbYhQg|p6eqb3CSMuMPmkkVlLDhpw|1hiDEOPijnrWhDdx1z1yAQ...
85,85,4,8,rwextTfRrg2YNoe96SLYoQ|1ccAx09EeLnMBG9RM14ukw|u5KVgQMHi5bPwPSVUkOYWg|JYgsQrCI1P6iObIIqyD3zA|U4i7UI1bZbEpzbeanfu7kQ...
32,7,4,8,Zh8X1au_crT9jBs2LlPb2Q|Gy6tBn6lrf4AN2Gr1I8Oyg|WxB8498ejPtHE7wFa89_fA|3DvZac7cg3nbdC9KBCQEsw|1RUStfReoIm_8NzWXKSbCA...
87,68,33,8,RKinKfvubtajsSDN3w5eCw|8g3Ad_Za00OyPYSUkwxn6A|nQnVERU6BGAoreffOSok1w|7lauqWtIuFmDflN8e0dOxw|W5cES1Og2LDTt_5DPT5daA...
86,53,10,7,4xe0xyglAp3YkMQ8xrmJtg|uzijV791gHf6U5nfH8Al5A|-X6ITNozAhXT4uVBjdCBUA|bxIg8rETZIXAUc9gRTVRoQ|A-yqzgOwLIfoT-rgILQSNg...
100,55,110,7,wU1_0cp9riS3VL_StLkPoA|-crz1FuaUJJVeyOOzdODXA|vZW85ZAjVvQyKunBCmen1g|LSevwCYKaW6Go5eQjS4A9Q|CYpWfYEed24PSYHwmV5_tg...
95,71,88,7,6L-skVVrBe03FCzu5C5TDg|m7aQVu6auR4N57gqYiwLwQ|Tfez9ZWvwBNxeQ50AAeLXg|mJyNbjEdlv_KHBbpim0gQg|Ho4BOtefvqlhVoj3-_kUyA...
121,33,124,7,-rvNMxUaQsJltsn0ftqpbQ|R-9KmbMBa6DMzurbBmYpDw|TIeuWmX0lRLkwh5aYv9Q6w|1L2gimdk0IQt5jgEKBeCtw|zMYfP9xIf4XzTC5ErC8E_g...
101,71,92,7,rz_an69uzlVtRzkRSMqrsw|90OqHj6ES9Npo2-ncdxurw|ygUdLzFvN2-8SbvL3C3rVg|i2Bp5z5TjwhfbcSOn4kcPA|2oO6flZBT-GIJpN50peMrw...
44,69,70,7,IV9Zoou8edeyGZqaUQ2c7Q|2_Uog4hABJRkEqwWx87vaQ|v1CeHx_WcjpKK6kAV2pDQA|s3SfymhlGFQGh2Z4OnwF4w|vpV8g_SAY8TR8Jmzevuw5g...
34,69,76,7,Derr7dcpu_BRwl8OwGQtyg|duK7Xs9DH78GHfYJfJW39w|3f_G6cPt_FCxTPMAKVNZkw|RXEucNiffoWAhPeRWgTyvw|q6qZzQbIDnl54kH-4BIA6Q...
60,55,53,7,jDVuT-CQdjF53kFd75LmhA|_F0tnw3UMFPmSYJHhGaGRw|voWJKzJtD89HUAHEi0Kotg|oyn3kA6HCreBhJm1EDhrCQ|gW0uWg_xTXlV9923C50SDQ...
36,73,4,7,Z9tVLQxaXm2jc3M3u9Bzww|8UfgD5UJ7EdjNIsjmVGOrQ|HwVnXl9hYOjyiPGbIkw9CA|G69tF9LvuXXCopJwfFCA-A|V1fOXkZIR95DUBYCKCh9Ng...
43,110,75,7,Ei0wJeADbNtwvA9CrvknJw|u4qdPm5pLtrcv5tXv9qhng|GMQew93RTcPVK09i5AVXiA|HEzgQ2bMFaYEeXs-48QjSw|O9c2AmdLr-6DHdywEUNxnA...
100,53,29,7,DwkUcTFaFhqcW-RDJ5rnNQ|lYyVSIRL9uK1ng_EHL-_9A|3nrWKR9rub_v_YVu6-y8TQ|KyOz_ERP4c89npy2Qbj0Fg|tA7bQrgI6rP6XiEw_vzUrg...
47,73,113,7,7crp8LZA4HbkMAKyh8Wcdg|oSnOGiL8JJ89tvCd7eL24w|cQMr2LcQyYlIP1mZHJ3oYQ|F0v0inbX8fjtBAEk1IUXng|QHqZOMqDBW-lAnipdtoFsA...
17,118,29,7,AcMwma_tRlmAp2BTDjZ3Kg|4ETJ4EMbT3zumbmAPqUj9Q|d_UgPkVyuqLuy8nZ_YYfvQ|69V_n-dOwjXvZO3QLaM9RA|Y6p91KKV7Nuj4_ERLrfFhQ...
7,82,11,7,fzz42ppeKH22FZuKr7kSWw|JRGJm2B5c0A8sDSyWydAYA|zlu0hMN6egVBrgSXiii7vQ|2-oXhioK5KFCSUVNjv2GCg|hPu9RUh8v3WCFhJQu52VzA...
111,87,92,7,YVM40BH2NmrpG1zQw2-PgA|fskPbD8G1DDQbCslHV-v_A|ZTD_xSBxv07aa5fFsYwTEA|1197WeMfKy-gUOOukAPEEQ|f1GinwRwdwBlCj_ZwekN8g...
29,55,4,7,5KmfEkODchaGsT2tYlQAmA|HsoFf5KbJuia9-cOLJUm4Q|YX7PIWPInNHNMjjQ3-Boew|3e613yg9WsOZHWs562jXjA|waPAecxML2o95uZhalnBtg...
77,73,4,7,jaXvxPHYziNh1T_dEA2h8g|Pm8R9r7qBJ1XIHGEDUWpqA|UB8sxbUN7kPZum22U2O9kg|WzZWZkxqwRlbyveZzRRRhQ|6FJOC5YTJOBeF6fSedqOOA...
70,44,97,7,07JLsUInZr5OSiYH2XVi4g|PkaxfjwdWKL02xkK2UGxNw|0OzT6ZgrYZNP95LMbbt2BQ|kuof8pQvg5dSGXzBdlsIPA|Qk1Jm9Eg9seoG_70Ujc3cg...
29,90,11,7,r0gfcJkkXstGeeZAY0w8rw|S8Uku1w7DUvOlnAp47dB9Q|hkKWRyfYI4fDzaiIEkZIeQ|9dS21_EfAb7W3Did8rEDJQ|KckdgxZXRbYze72bhaJVfg...
5,5,52,7,DgQgh0PyBKlfyKLhGWhpXA|Cb4bVlon1HNVBMxjjIskOw|T5SOzaud4hQ5dS_0rt7XPA|0S_4jegr9uR8UqdeMJdd2A|v7z6hrFGa8XTWDjWa5zFWQ...
9,53,24,7,8Uz6dy3vMQsZTQu-vqpZ5A|-UYMLGjgQ9kCTU24sVynYQ|UTRUdgWKvgqyjwsDIXBQbg|BvmjOuWCa0nxMltBC0qLqw|hG9v2-_ygQazAvthakGuIg...
79,53,10,7,is8AnA7quM_D5EDiagV_3w|yfHlmFanMbs8k3bFzcA2Jw|5fx6teWQ_TUxZy95yUGg-g|GRMy8tKp11AeQ6MNhelfAg|b3qm4_EK3RFXS-3CHs15Ig...
9,74,29,7,4BIvXL8Hz63mS4q5Svf6MQ|Q9T9PKQZSs571tS0lQLoIg|Pfvlmt1dXEO4Gd63aRSDGg|7jdBrNsVs8GbXfE5BwcplA|sKqOI7OTvx4Eg1GgjpXQ3g...
85,68,4,7,G4_qn6qaTtc1Rq4etW1puw|NGXjKa-bunEEwciWUkmOBQ|HpuaTdgJlUXKrgKMPKfs3Q|J1yeiRSPi4qOYKilgiBbIw|zdm2gLLH1cOH-tAHNeO3vQ...
107,30,86,7,mMCzkVWX0dOkHlxJd3jjmg|WIeAfvm5pcjtcWo7DdQeWA|rFNitji_erSFnb8ISyCrLw|dhkqAEbFvOOtjfVovDPNHA|X_vfIUXywYG0cjbd0H_TsQ...
57,9,10,7,dKfMKFaiHC_9XLHdqhFN2w|WAbWWn-YqcKNYzJiwslITQ|5kZtETKu37RuwHATrB4a5g|z_rrWRB6vlsK3fGP3BcmBw|6U6QsBCoEq0Oy16WfyiA_A...
71,71,88,7,aZNiVR6oAMQX5__yGPvYsg|F4rYY-n9kWr2sMdbWkrsJQ|TAOqFx71BxMxuQKRC1koaQ|zHXpJfdC7DgF9rNc2H7N6A|R5PDWmEnLX7lDSEPfF9ZWw...
44,55,114,7,I3q3HB1bvcgXbZrMsX2pcg|e3ph3NO-eTeWnJozPRxxkQ|HNimzVqqW3pxF5CMd-WixA|hTVuMO3flav56UNwD_t95w|KyFdgJomsfNbNilFAMNbCg...
110,55,4,7,cCP7ued6F6ScOpQSVs-Mrw|MRtKINPRZK2QTjsXANYLSg|Pa94wJ3P3655-9o6eN3uIw|GcWsKxE1qxQ8LMSylVQo9g|SRUF0GAbsFbOQPq9975RUw...
101,107,8,7,REbT9lejm82ZAt5E_r12GA|knf1cgvu0qCZzVWcyW_bXg|ZYJzr1diF0uwD4Wp7qkKxQ|4EpXn9_SBqWdqzwO3vHm7g|vBg3hGXN7kQA7vA-DwnHiA...
85,42,86,7,yFhtx9Q7h9YDWo4rfYNhVQ|cZhr3bgfitWC7hTmy4wgDw|rsSjkulg0i_hhWbQs__I0Q|zzbpcMZXHoZxUr9JZdH6wg|4fzyMIxVjxXc2N6UeJD3Yg...
73,84,88,7,FuyZvn7OxiJnUIXoaRnriw|wm5mQ4cSpvko9WlCq07RFw|bGjoHwhmywFAYaSViKJEDQ|SQI01Ka6Wl7Kv-_NRBZ7jQ|wqpTOjsmogJy7syELpUE0g...
45,53,62,7,J9Vd_slUuhnyjZi47Lh1ug|Y46_nZxtCaFpOG1GrD9n2w|TfKROigrZVOPbAJG65mgLw|-sq6I3RSuvlv3nXFfj4JTw|j3yCJo6tcggWs_Z1-cZ1AQ...
9,63,29,7,liy3id4Wj1AaIduwETiVSQ|SjS7bdnS3KAkhq5bWut9XQ|A7jnPMErUKF4SI4JzCk3hQ|MHldYtfAtcZJ88_45tNRyQ|1MVoJvPhP5SkrJGCxuriaQ...
110,69,67,7,RnYPhJ9u98hIEMilycQKjA|vwSxjdfUAnFo-zUREWYELQ|yw268vFr_cu7iTDpsocxgg|teNfxYX0estS2Bdr2Snobw|8kvrq98-vEojtSETUsDamA...
98,53,76,7,ZHyrzZLFAKmukAtaSugwGg|sfK-vRt2nAh1-c_L6b8OnA|85piN0-Z57EGTbLUrjvByQ|LN0IvnJC1zXRaahaXGhK6w|QmlAhC7kTgPpiw2Jxg2Rhg...
122,53,17,7,a61STG1g8Zlwz_k7MJtrAw|swSjEeyHuxVGXZfGGY1RPQ|Q8b_MwLNfKLxxmfB68ozHw|Wn1SAo4TMyKnFOA74GmI0w|c5S8N2BWd36xtRB4EgqROQ...
28,113,117,7,cpsKyZKCLpTMmu0YQsbIsg|6jwmTTcGO5oy2JSa96WLzw|ARKOI5VLF41GQGP8UDrheg|kwsjuXKb6oLv8PbEWumhJQ|EY21LIzWfGgzbJWBfe9l2Q...
